# Pathway	VNF1S288	VNF2S289	VNF3S290	VNF4S291	VNF5S292	VTF1S293	VTF2S294	VTF3S295	VTF4S296	VTF5S297	VIF1S283	VIF2S284	VIF3S285	VIF4S286	VPF1S287	VPF2S288	VPF3S289	VPF4S290	VPF5S291	VNA1S233	VNA2S234	VNA3S235	VNA4S236	VNA5S237	VTA1S238	VTA2S239	VTA3S240	VTA4S241	VTA5S242	VIA1S243	VIA2S244	VIA3S245	VIA4S246	VIA5S247	VPA1S248	VPA2S249	VPA3S250	VPA4S251
season	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry
PWY-5100: pyruvate fermentation to acetate and lactate II	20.2711	20.2919	27.0123	27.6957	18.21	22.9182	22.9182	14.778	17.6363	16.1064	22.6096	22.8158	21.0768	19.1806	22.6421	22.6421	25.6011	13.6672	28.0516	26.1256	24.1993	25.4816	22.7571	20.2812	20.1404	26.3213	14.5672	13.0182	23.3395	13.6906	18.5119	15.2336	17.7792	21.7329	24.1115	22.5928	22.3265	23.4548
PWY-5101: L-isoleucine biosynthesis II	0.729572	0.730319	1.21571	0.597755	0.568685	1.96195	1.96195	1.42398	0.719747	1.13273	0.984037	1.60919	1.35826	1.74327	0.883943	0.883943	1.48763	1.06458	1.23122	0	0	2.58758	1.22378	1.01816	3.23242	0	0.781907	0.547106	2.15358	2.28172	0	1.83008	1.3478	0.718907	0.733085	0	0	0.925135
PWY-5103: L-isoleucine biosynthesis III	185.026	185.144	176.887	189.449	188.816	166.126	166.126	152.789	160.492	158.627	172.661	142.211	158.055	171.471	144.526	144.526	163.749	142.536	143.76	161.175	170.617	166.163	187.955	176.066	154.835	168.484	148.497	155.16	157.169	166.681	175.448	175.461	166.205	182.685	152.76	161.367	132.427	151.51
PWY-5104: L-isoleucine biosynthesis IV	20.8255	20.8467	19.0794	25.5207	10.5835	15.9919	15.9919	7.61806	7.17678	14.7393	14.5281	10.7228	12.7349	12.3647	13.0832	13.0832	22.5787	11.3522	21.0078	21.4265	11.8827	19.8801	9.99601	13.4453	6.48107	19.78	5.14027	4.29703	13.5739	5.6425	10.8897	2.92907	3.72442	5.39434	14.1554	14.723	13.3866	17.3809
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	13.1791	13.1921	16.3784	15.2262	14.8758	15.3114	15.3114	13.8695	14.7152	13.7618	16.4465	15.4018	16.2982	14.5375	16.2552	16.2552	17.4066	13.3922	18.911	13.6781	11.7028	12.8163	11.501	9.91161	15.3664	17.6842	10.4214	10.0048	13.9194	15.0466	16.0738	15.1139	16.3492	13.2857	15.133	16.8804	11.6218	17.0313
PWY-5130: 2-oxobutanoate degradation I	22.9707	22.9388	24.9412	25.2027	26.3545	17.579	17.579	16.02	24.1894	22.1617	22.8719	18.0462	19.6924	21.5857	19.9596	19.9596	28.419	19.4305	20.9282	29.4937	26.2662	22.983	21.5	27.7078	20.7045	27.4079	20.9917	21.7936	20.1134	17.6692	25.9257	16.7991	19.6906	17.614	24.7672	27.4074	14.8775	17.8209
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)"	80.5531	80.4771	80.9213	84.8277	88.7181	65.8082	65.8082	74.6989	67.153	67.7106	76.0996	65.1077	73.7918	80.1269	71.269	71.269	78.926	64.7177	67.5093	63.9158	78.9105	66.9878	74.2944	75.5858	70.1723	69.5828	70.9391	76.5396	74.9674	80.2624	88.2448	82.27	79.2626	80.6678	75.0319	74.6237	59.985	69.8714
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)"	6.72839	6.73525	6.5515	5.23677	7.54901	5.42024	5.42024	6.74021	4.19089	5.02703	4.76715	4.16523	5.42539	5.22661	3.69476	3.69476	4.32703	2.88216	4.5643	4.25267	0	5.98283	10.3815	10.7005	6.9136	8.37633	5.91737	5.73618	6.2064	3.50955	7.44831	6.29764	6.20969	6.30528	3.80818	5.74615	5.51348	4.65066
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	21.5469	21.5694	11.2604	14.4872	12.7328	8.97013	8.97013	10.3119	18.1969	15.9807	14.0645	7.6532	10.4859	11.9764	11.0671	11.0671	20.0277	13.3169	11.6144	13.2173	13.0734	9.14611	0.932122	9.902	12.2596	16.637	18.2359	11.8002	15.8235	9.13515	9.95143	6.04369	9.84304	8.41014	13.4528	13.313	10.7233	12.0759
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	7.36621	7.36899	5.49431	4.88454	8.49114	0	0	5.39789	5.51086	3.73003	5.31544	3.91283	4.97256	7.31936	2.58423	2.58423	5.95795	4.99743	2.99387	0	0	3.02982	0	0	6.46812	5.26718	6.50253	0	7.07266	7.34464	7.17548	6.08208	7.82264	6.04269	5.56553	6.30191	6.09619	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	67.7584	67.8152	63.9793	68.8474	65.5897	63.9906	63.9906	54.4725	54.5914	60.1544	62.2065	52.6008	60.8176	63.8432	59.0098	59.0098	68.7881	59.5065	57.152	51.9849	51.9524	56.1827	50.7165	60.336	49.0887	63.2926	50.6586	49.8139	58.1083	57.7415	57.2305	55.9021	67.8777	61.1617	62.7561	74.4743	49.4594	66.1887
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	51.1085	51.161	45.3951	51.0806	49.9963	52.8463	52.8463	45.2916	48.5073	47.0084	55.0101	39.632	53.5394	51.5095	50.5635	50.5635	60.8011	48.3718	46.828	41.983	39.6776	46.6941	37.0803	46.0776	41.502	52.4	48.3694	46.1356	51.5024	48.0393	49.8555	45.4935	58.9226	50.6112	58.6497	60.7135	44.3398	57.8442
PWY-5198: factor 420 biosynthesis II (mycobacteria)	1.22785	1.26749	0.683538	0.773839	0.981671	0.539753	0.539753	1.00285	0.209615	1.2	0.586579	0.716476	0.655277	0.994423	0.573774	0.573774	0.92352	1.05299	0.734985	0.752999	0.77371	0	0.6493	0.512226	0.701848	0.875824	0.893739	0.818674	0.796439	1.10662	1.26771	1.05243	0.902693	0.993984	1.40447	0.911443	0.26797	0.916885
PWY-5209: methyl-coenzyme M oxidation to CO2	1.37556	1.37698	2.59566	3.40728	1.18272	2.77405	2.77405	1.9798	2.44165	1.80634	2.9874	1.96144	1.99675	2.44822	2.27028	2.27028	2.54339	2.15609	2.92927	3.44999	1.09289	3.27443	2.45685	2.24617	2.77045	2.47283	0.959662	2.37499	2.5504	2.64575	1.67936	2.46976	2.70432	1.84765	2.36988	1.25678	2.73012	2.35646
PWY-5280: L-lysine degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245715	0	0	0.251056	0	0	0	0	0	0	0	0	0	0	0	0.695774	0	0	0	0	0	0	0	0	0
PWY-5328: superpathway of L-methionine salvage and degradation	0	0	0	0	0	0	0	0	0	0	0.201494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	49.9268	49.7236	49.6539	53.7932	50.0889	49.957	49.957	48.4902	44.4097	46.2934	53.3341	35.546	45.4628	48.3159	42.1894	42.1894	53.0267	45.9017	42.4273	46.4348	46.0286	43.8037	39.0883	47.8616	48.7346	51.1966	44.002	46.9084	49.788	50.9312	47.2774	44.6942	50.2997	47.679	48.8521	49.36	35.1707	45.1959
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	5.59646	5.59782	0	8.04948	3.91329	0.870425	0.870425	5.18951	2.41069	4.99061	5.29059	1.81504	4.16367	6.27302	4.50564	4.50564	10.435	5.60718	4.4504	1.77282	2.84999	1.16828	0	1.38524	3.67484	2.72069	2.81196	2.33038	2.86191	1.13948	5.88052	4.72344	3.87696	2.06429	0	6.35586	0	1.3234
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	2.50634	2.50909	3.1619	2.81817	1.05547	3.48349	3.48349	4.88681	1.93859	3.94432	3.16007	2.21239	7.47009	6.28076	2.59758	2.59758	3.3151	3.38439	4.8983	1.68436	1.13287	2.33954	0	2.52786	4.00283	4.00443	1.45578	3.38464	6.52822	4.99234	3.52004	10.0961	6.5755	5.21515	2.62901	3.36576	2.57023	5.63964
PWY-5392: reductive TCA cycle II	2.53014	2.53316	2.66471	1.71873	3.31727	2.73191	2.73191	4.03219	1.26631	5.1739	3.16414	3.86259	3.25173	3.94157	4.19993	4.19993	4.50537	4.7606	3.31787	1.24792	1.13013	0	1.48249	2.85951	0	3.62145	5.45086	4.83637	5.94986	6.08395	4.57018	1.34889	4.29487	3.50704	3.56413	3.25646	2.33858	4.32688
PWY-5415: catechol degradation I (meta-cleavage pathway)	0.553899	0.554446	1.31828	2.76239	0.713342	0	0	1.41693	1.58489	0.968901	0.559133	1.23046	0.404325	0.839908	0.444057	0.444057	1.49085	0.761442	1.47686	0	0.568171	0.715613	0	0	1.03633	1.69492	2.67056	1.02593	0.681354	1.23472	1.21627	0.90654	1.52906	1.39403	0.370449	1.68495	1.30791	0.85947
PWY-5417: catechol degradation III (ortho-cleavage pathway)	3.13649	3.13979	1.71532	1.97077	2.36148	1.91268	1.91268	2.25131	2.41823	3.13871	2.15141	1.23738	1.29763	1.97492	1.70579	1.70579	2.9418	2.16574	1.13821	1.67073	1.35073	0	0.206361	0.401604	1.84201	1.77286	2.8437	2.04812	2.27047	1.90083	2.04261	1.99809	0.873111	0.76438	1.87137	2.22016	0	1.15467
PWY-5419: catechol degradation to 2-hydroxypentadienoate II	0	0	0	0	0	0	0	0	0	0	0.142569	0	0	0.13429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5420: catechol degradation II (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0.215824	0	0	0.196797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5430: meta cleavage pathway of aromatic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5431: aromatic compounds degradation via &beta;-ketoadipate"	3.13649	3.13979	1.71532	1.97077	2.36148	1.91268	1.91268	2.25131	2.41823	3.13871	2.15141	1.23738	1.29763	1.97492	1.70579	1.70579	2.9418	2.16574	1.13821	1.67073	1.35073	0	0.206361	0.401604	1.84201	1.77286	2.8437	2.04812	2.27047	1.90083	2.04261	1.99809	0.873111	0.76438	1.87137	2.22016	0	1.15467
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	3.71539	3.71908	1.12206	0	0.316095	0	0	0	0	0	0	2.15997	0	3.24068	1.52834	1.52834	0.494041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	43.0272	41.5692	36.1154	41.4967	38.479	37.2596	37.2596	37.2579	34.1491	36.646	39.4932	30.3357	34.24	37.9932	34.6312	34.6312	44.3553	37.0769	33.9255	31.9377	33.1736	31.7069	35.6967	35.2567	34.8357	36.8766	35.9594	33.7533	40.6654	39.5565	38.7455	42.2134	42.4635	40.1972	39.912	40.7895	30.5804	34.4576
PWY-5497: purine nucleobases degradation II (anaerobic)	0.29789	0.298196	0	0.173113	1.26605	0	0	0	0.183088	0.358853	1.39559	0.135147	0.924927	0	0.54681	0.54681	1.3548	0	0	0.771235	0	0	0	0	0	0.409793	0.409542	0	0	1.14889	0	0	0	0	0	0.0648512	0	0
PWY-5505: L-glutamate and L-glutamine biosynthesis	10.0067	10.0289	10.5009	13.6002	9.41438	8.59512	8.59512	6.50726	9.69105	7.95743	8.55928	8.78212	8.99383	8.76162	9.28172	9.28172	12.1898	7.51145	11.1253	15.5283	11.3594	12.6979	13.1133	9.94694	10.8631	16.9414	7.65159	7.84639	11.2183	7.81015	11.8532	10.6249	8.31517	8.31652	9.59006	10.4407	6.34489	10.1084
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0.655692	0.656364	0	0	0	0	0	0	0	0	0	0	0.728047	0	1.0469	1.0469	1.94582	0.557619	0	0	0	0	0	0	0	0	0	0.864136	0	0	0	0	0	0	0	0	0	0
PWY-5517: L-arabinose degradation III	0	0	0.283017	0.103007	0	0	0	0.245304	0	0	0.168727	0	0	0.397043	0	0	0.550636	0.293468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29274
PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	0.998058	0.999081	0	0	0.331138	0	0	0	0	0	0	0	0	0	0	0	0.25409	0.498943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	52.8122	52.6736	51.9429	57.4673	57.0175	49.6475	49.6475	48.7794	44.2972	50.0004	49.9748	44.1973	51.1555	52.1658	43.7502	43.7502	46.718	48.7182	42.2101	43.1191	55.7364	50.2015	55.9461	52.2198	48.6664	51.6854	53.8863	50.2825	58.0949	63.1247	59.5927	57.7599	57.823	57.7783	54.6932	47.9259	42.7734	48.9585
PWY-5647: 2-nitrobenzoate degradation I	0.326294	0.326629	0	0.536788	0	0.430989	0.430989	0.146884	0.639472	0.305708	0.635931	0	0.511447	0.816951	0.724993	0.724993	0.705053	0.827571	0.490252	0	0	0.679489	0	0	0.940311	0.925098	0.831902	0.690473	0	0	0	0	0.976247	0	1.14538	0	0	0.771336
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	4.51752	4.52216	2.69469	4.76522	4.60392	4.64782	4.64782	3.71444	4.20444	4.15069	5.59334	2.29775	4.52096	4.76315	3.68024	3.68025	5.85008	6.22997	3.57839	2.39268	0	3.56366	0	3.81094	4.62233	4.50578	3.2506	2.76079	2.49283	2.80033	4.12799	4.1616	4.90708	4.45607	4.31479	4.25331	3.60824	3.79465
PWY-5652: 2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	0.2621	0.262369	0	0.432415	0	0.346277	0.346277	0.117677	0.515152	0	0.511789	0	0.41098	0.658672	0.583948	0.583948	0.567602	0.667011	0.394166	0	0	0.54744	0	0	0	0.532088	0.672725	0	0	0	0	0	0.789584	0	0.927844	0	0	0.622272
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0.2621	0.262369	0	0.432415	0	0.346277	0.346277	0.117677	0.515152	0.245313	0.511789	0	0.41098	0.658672	0.583948	0.583948	0.567602	0.667011	0.394166	0	0	0.54744	0	0	0.761967	0.747082	0.672725	0.556879	0	0	0	0	0.789584	0	0.927844	0	0	0.622272
PWY-5655: L-tryptophan degradation IX	0	0	0	0.825165	0	0	0	0	0	0	0.425867	0	0	0.349864	0	0	0	0.906137	0	0	0	0	0	0	0	1.07941	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	0.0651069	0.0651737	0.127676	0.122788	0.372093	0.424841	0.424841	0.207443	0.143988	0.554042	0.363949	0.439395	0.243422	0.227054	0.393984	0.393984	0.497987	0.461529	0.51553	0	0	0.758601	0.447285	0.170333	0.161457	0.629521	0.379047	0.217638	0.492794	0.337754	0	0.636538	0.405035	0.100058	0.634638	0.656339	0	0.601523
PWY-5659: GDP-mannose biosynthesis	14.9187	14.8865	13.7346	12.1938	15.4939	10.7546	10.7546	12.1398	9.90728	12.2786	9.03642	6.58509	8.47711	11.5447	8.70026	8.70026	10.9481	10.8323	8.29879	10.9625	12.9784	8.75482	11.0393	10.1792	9.61133	11.2979	12.1909	13.4214	9.4096	8.13981	10.9279	10.8842	10.9458	11.3734	9.8689	11.8487	7.46015	8.8497
PWY-5667: CDP-diacylglycerol biosynthesis I	17.6591	17.6772	8.46185	11.2034	13.9519	14.3197	14.3197	13.5072	12.143	12.122	15.3333	11.3102	10.8887	12.3097	14.1834	14.1834	19.0361	17.2373	16.2572	7.30719	8.55224	9.43365	6.55461	9.3633	11.1807	13.1751	12.0408	11.3066	14.0561	11.0803	12.3921	10.2834	13.8543	7.59621	14.1072	13.2348	6.71263	14.7719
PWY-5675: nitrate reduction V (assimilatory)	8.78274	8.79114	9.61135	11.4706	7.97783	6.53303	6.53303	5.43126	7.26201	6.65984	7.7137	2.39457	8.13568	7.17436	3.7478	3.7478	7.22129	5.89866	6.70107	9.98428	7.02538	8.67595	7.46779	6.84617	4.06216	9.02804	2.16521	5.43052	5.22273	3.49014	7.6988	5.13274	4.9387	3.30744	2.57082	7.92524	4.8247	5.9218
PWY-5676: acetyl-CoA fermentation to butanoate II	24.322	24.3471	24.2769	25.6496	20.497	19.0459	19.0459	19.7062	17.4466	20.5729	23.0541	18.0773	21.4076	21.7534	22.0101	22.0101	23.7564	19.9904	21.619	20.5969	20.5998	24.375	22.8272	20.033	19.0292	19.9304	22.3095	19.4539	22.5614	20.2097	15.683	17.4992	19.6524	19.7042	17.0957	25.5312	16.6567	22.3084
PWY-5686: UMP biosynthesis I	79.2825	79.3523	83.3795	88.0445	82.9422	81.9067	81.9067	78.2724	75.8762	79.4374	81.2791	66.1668	83.0587	80.7475	73.1542	73.1542	90.1297	77.594	76.7948	71.8972	75.0874	71.9457	76.2544	80.8104	70.3611	81.3136	72.9476	77.8348	83.7479	84.7779	82.5009	92.4101	94.2751	93.0748	80.8301	86.3239	64.0215	91.2039
PWY-5690: TCA cycle II (plants and fungi)	41.145	41.1954	39.3006	40.7841	42.5478	36.3259	36.3259	33.2696	33.9717	38.755	38.1453	35.1736	36.0051	41.8918	30.8058	30.8058	35.9797	32.7779	33.5964	38.3266	47.5579	45.7237	44.9396	45.4462	39.8318	45.3202	43.0018	36.6905	41.541	40.7969	41.6787	42.2255	43.8333	44.6768	45.9855	41.6732	42.4032	42.0879
PWY-5695: inosine 5'-phosphate degradation	64.6338	64.6953	71.3998	71.243	66.6014	69.8115	69.8115	63.8607	66.6374	69.4177	71.821	49.4049	64.1522	66.1246	61.2451	61.2451	64.9557	58.3967	61.6182	61.1858	60.8712	60.3405	67.0837	65.3798	70.8078	74.0914	60.1237	69.102	66.2686	66.3919	68.292	68.6009	75.195	73.2148	72.2363	80.5214	55.296	75.2446
PWY-5705: allantoin degradation to glyoxylate III	0.436325	0.436772	0	0	0	0	0	0	0	0	0	0	0	0	0.340808	0.340808	0	0.474389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3724
PWY-5723: Rubisco shunt	69.5872	69.6205	67.5192	63.7202	53.4313	47.8616	47.8616	48.1205	52.0971	41.4215	58.3443	50.5953	54.8734	49.7224	56.3545	56.3545	66.9132	62.0983	67.7306	59.9327	54.3063	57.9462	52.2485	52.6235	30.4418	44.5883	34.3837	39.8704	45.6105	41.5118	38.6234	35.2892	40.4208	46.1934	48.5679	37.4771	52.2389	64.4306
PWY-5741: ethylmalonyl-CoA pathway	2.71132	2.7141	1.66793	2.11436	2.79172	2.32806	2.32806	2.8026	1.37745	1.30922	2.25556	2.0191	2.75183	2.09782	3.11527	3.11527	2.34881	2.13409	2.60077	0	1.6872	1.43672	0	1.38537	1.36675	1.51785	1.06298	0.894903	2.32547	2.91311	2.63827	2.49828	3.61162	1.64768	0.899252	2.32943	2.08567	1.87674
PWY-5747: 2-methylcitrate cycle II	4.82343	4.82486	1.62644	2.49358	2.90002	2.35174	2.35174	2.30736	2.26153	2.77952	2.28638	1.88447	2.78757	3.43805	2.07413	2.07413	5.5435	4.03435	1.4952	3.07925	1.6216	1.80842	0.358204	3.14878	2.94989	1.72754	2.28018	2.3602	4.09116	3.09191	4.06356	2.13806	1.25558	2.24595	2.66068	3.32845	1.53119	1.7864
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0.79364	0.794449	0.908465	0.17178	1.02121	0	0	0	0.279306	0.882414	0.674589	0	0	0.366308	0	0	0.343919	0.87199	0.225642	0	1.78871	1.06182	1.3639	0	0	0	0	1.26693	0.716608	0.362575	0	0	0	0	0	0	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	2.481	2.48353	2.87746	0.579289	3.15788	0	0	0	0.924874	2.77679	2.14358	0	0	1.20588	0	0	1.13127	2.70841	0.749259	0	5.303	3.17862	3.92839	0	0	0	0	3.81954	2.27724	1.19679	0	0	0	0	0	0	0	0
PWY-5840: superpathway of menaquinol-7 biosynthesis	2.55578	2.55838	2.8071	0.579912	3.25898	0	0	0	0.920081	2.74098	2.1297	0	0	1.21263	0	0	1.12855	2.72196	0.750132	0	5.26178	3.2079	4.1369	0	0	0	0	3.72636	2.1496	1.19595	0	0	0	0	0	0	0	0
PWY-5845: superpathway of menaquinol-9 biosynthesis	2.10759	2.10974	2.41483	0.548869	2.26266	0	0	0	0.901834	2.14404	1.84173	0	0	1.15327	0	0	1.05577	2.4974	0.698818	0	0	2.80908	2.98508	0	0	0	0	3.31941	2.00242	1.1083	0	0	0	0	0	0	0	0
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	0	2.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27333	0	0	0	0	0	0	0	0	0	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0.28605	0.286344	0	2.1417	0.522838	0	0	0.955159	0.440162	0	0.99302	1.46807	0	0.264055	0.227203	0.227203	0.951492	0.506969	0	1.83636	0.851473	0	0	0	0	0	0	0.869144	0.794947	0.542751	1.31473	0	0	0	0	0	0	1.33199
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	1.35869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85635	0	0	0	0	0	0	0	0	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	1.67394	1.67565	1.94837	0.387351	2.14465	0	0	0	0.62067	1.87971	1.44774	0	0	0.810128	0	0	0.75936	1.83603	0.501912	0	3.64409	2.16812	2.68111	0	0	0	0	2.61472	1.53939	0.80394	0	0	0	0	0	0	0	0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	1.41942	1.42087	1.63101	0.366952	1.52856	0	0	0	0.605109	1.4463	1.24159	0	0	0.774527	0	0	0.708359	1.69077	0.467971	0	0	1.91092	2.02575	0	0	0	0	2.26439	1.35133	0.744084	0	0	0	0	0	0	0	0
PWY-5873: ubiquinol-7 biosynthesis (late decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	0	2.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27333	0	0	0	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	2.29151	2.29385	2.6156	0.511352	2.93485	0	0	0	0.821999	2.52265	1.93541	0	0	1.07674	0	0	1.00541	2.47272	0.664052	0	4.99235	2.97175	3.87806	0	0	0	0	3.55428	2.06533	1.06864	0	0	0	0	0	0	0	0
PWY-5898: superpathway of menaquinol-12 biosynthesis	2.29151	2.29385	2.6156	0.511352	2.93485	0	0	0	0.821999	2.52265	1.93541	0	0	1.07674	0	0	1.00541	2.47272	0.664052	0	4.99235	2.97175	3.87806	0	0	0	0	3.55428	2.06533	1.06864	0	0	0	0	0	0	0	0
PWY-5899: superpathway of menaquinol-13 biosynthesis	2.29151	2.29385	2.6156	0.511352	2.93485	0	0	0	0.821999	2.52265	1.93541	0	0	1.07674	0	0	1.00541	2.47272	0.664052	0	4.99235	2.97175	3.87806	0	0	0	0	3.55428	2.06533	1.06864	0	0	0	0	0	0	0	0
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18406	1.18406	0.697743	0.655487	0	0	0	0	0	0	0	0	0	0.926225	0	0	0	0	0	0	0	0	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	33.4542	33.4961	26.6904	29.6418	31.4059	25.9542	25.9542	27.196	26.7191	30.7719	33.5675	25.5038	30.6	29.6309	35.569	35.569	33.8457	32.1687	28.7362	24.1592	26.4647	29.0633	21.3571	25.4958	27.9755	23.7544	32.122	26.8645	27.3295	36.3545	34.0332	29.8338	31.4756	29.1736	34.7432	29.5426	25.1785	33.1142
PWY-5918: superpathway of heme b biosynthesis from glutamate	37.5457	37.5818	32.0616	35.3755	31.0146	33.2729	33.2729	28.9919	24.562	25.4193	31.4468	24.5821	29.5762	30.646	30.2617	30.2617	37.0854	33.2681	32.0833	24.9174	24.8963	24.3842	23.6679	27.7543	30.448	33.3884	22.5344	24.0468	28.5704	26.3767	19.882	26.4351	31.737	29.7075	31.957	38.3222	20.5556	35.6287
PWY-5920: superpathway of heme b biosynthesis from glycine	31.6945	31.727	26.5539	29.4917	26.0783	28.3505	28.3505	24.7607	21.0699	21.2204	27.187	20.6846	25.4643	25.99	26.0419	26.0419	32.2305	28.671	27.5479	20.9872	20.6724	20.6137	19.4989	23.3319	26.4391	28.4654	19.6068	20.9365	24.6591	22.3167	16.7238	22.346	27.2706	25.193	27.8645	32.9818	17.5257	30.9035
PWY-5941: glycogen degradation II	66.0613	66.2163	89.242	81.4678	64.2108	89.3894	89.3894	86.736	81.0947	78.6692	118.703	120.046	109.723	90.8891	121.686	121.686	101.846	86.288	112.51	77.4569	73.7178	98.5998	68.9471	84.6101	86.7718	92.7598	77.086	76.4642	88.2296	82.7176	95.2044	84.4516	101.955	94.8564	111.785	110.62	90.6149	130.732
PWY-5972: stearate biosynthesis I (animals)	0.48893	0.489455	0.603875	0.346634	1.17039	0	0	0.339918	0	0	0.728877	0	0.710762	0.252994	0.303223	0.303223	0.981055	0.707108	0.440386	0	0	0	0	0	0.17932	0	1.08107	1.65581	0.650673	0.451859	0.660143	0	0.34864	0	0.804311	1.01037	0	0.83826
PWY-5973: cis-vaccenate biosynthesis	111.936	111.367	104.267	104.524	106.439	90.3512	90.3512	90.2687	99.5361	94.1389	113.359	97.263	106.74	100.088	103.473	103.473	117.224	93.1306	93.6464	87.2932	90.4626	97.1333	86.9879	93.1302	94.6569	95.2941	95.7062	101.313	96.6834	99.8285	109.568	92.8245	104.305	94.5196	109.898	103.491	79.0944	105.622
PWY-5981: CDP-diacylglycerol biosynthesis III	6.05739	6.0636	3.16217	3.71474	3.64532	1.87928	1.87928	2.82951	2.0553	2.27333	2.18658	0	2.05584	3.41328	1.94758	1.94758	3.32258	1.76675	2.20402	2.64742	3.00849	2.19727	2.3787	1.5862	1.52364	3.32757	2.51164	0.980503	3.00421	2.11551	2.85379	1.96302	3.44785	2.9359	2.72465	3.63134	0	2.06182
PWY-5989: stearate biosynthesis II (bacteria and plants)	36.9123	36.8711	30.6771	35.9417	40.5793	30.9049	30.9049	38.3879	28.8044	41.1997	39.8213	32.0294	36.1156	38.0763	37.3726	37.3726	49.3954	39.2086	30.9554	25.9337	26.3742	30.2794	20.4293	30.9892	36.7406	29.1507	36.5028	38.1461	40.3511	36.8385	43.5918	35.2102	38.8288	29.8681	40.1877	39.7755	25.6579	33.9314
PWY-6084: 3,5-dichlorocatechol degradation	0.535906	0.536456	0	0.134323	0.845157	0	0	0.192491	0	0	0.226536	0	0.178232	0.628209	0.361708	0.361708	0.463168	0.66264	0.144872	0	0	0	0	0	0.786201	0	0.22878	0	1.24791	0.882781	0.390124	0	0	0	0.957548	0	0	0
